ORPHANED SISWA ACCOUNTS CHECK
=============================

Total Users with role 'siswa' NOT linked to any Student record: 76
ID: 6 | Name: Ferdinan Zega | Username:  | School ID: 1
ID: 32 | Name: Galih Nashiruddin | Username:  | School ID: 1
ID: 33 | Name: Asirwada Cawuk Prasasta | Username:  | School ID: 1
ID: 34 | Name: Karya Wibowo | Username:  | School ID: 1
ID: 35 | Name: Lurhur Dariati Prasetya | Username:  | School ID: 1
ID: 36 | Name: Narji Mandala | Username:  | School ID: 1
ID: 37 | Name: Harjaya Setiawan | Username:  | School ID: 1
ID: 38 | Name: Cakrawala Nyana Ramadan S.Gz | Username:  | School ID: 1
ID: 39 | Name: Langgeng Najmudin M.TI. | Username:  | School ID: 1
ID: 40 | Name: Darmaji Mangunsong | Username:  | School ID: 1
ID: 41 | Name: Baktiadi Prasasta | Username:  | School ID: 1
ID: 42 | Name: Darijan Jarwi Budiyanto | Username:  | School ID: 1
ID: 43 | Name: Kariman Gunawan S.Farm | Username:  | School ID: 1
ID: 44 | Name: Tugiman Pradana | Username:  | School ID: 1
ID: 45 | Name: Pandu Irfan Wibisono S.E.I | Username:  | School ID: 1
ID: 46 | Name: Raden Sitorus | Username:  | School ID: 1
ID: 47 | Name: Prabowo Rajata | Username:  | School ID: 1
ID: 48 | Name: Artawan Darimin Prabowo M.Ak | Username:  | School ID: 1
ID: 49 | Name: Dartono Permadi | Username:  | School ID: 1
ID: 50 | Name: Baktianto Siregar M.Farm | Username:  | School ID: 1
ID: 51 | Name: Narji Haryanto | Username:  | School ID: 1
ID: 52 | Name: Nalar Cahyadi Prayoga | Username:  | School ID: 1
ID: 53 | Name: Atma Setya Tamba M.Kom. | Username:  | School ID: 1
ID: 54 | Name: Kairav Mulya Prakasa | Username:  | School ID: 1
ID: 55 | Name: Opan Sihombing | Username:  | School ID: 1
ID: 56 | Name: Eja Putra | Username:  | School ID: 1
ID: 57 | Name: Agus Kasusra Pangestu | Username:  | School ID: 1
ID: 58 | Name: Prakosa Winarno | Username:  | School ID: 1
ID: 59 | Name: Kemal Megantara | Username:  | School ID: 1
ID: 60 | Name: Galih Lantar Napitupulu | Username:  | School ID: 1
ID: 61 | Name: Saiful Hutasoit | Username:  | School ID: 1
ID: 62 | Name: Banawi Tampubolon | Username:  | School ID: 2
ID: 63 | Name: Sakti Dadap Permadi | Username:  | School ID: 2
ID: 64 | Name: Margana Gamanto Wibisono | Username:  | School ID: 2
ID: 65 | Name: Ian Pratama | Username:  | School ID: 2
ID: 66 | Name: Prabawa Jamil Waskita S.Farm | Username:  | School ID: 2
ID: 67 | Name: Tri Asirwanda Hardiansyah | Username:  | School ID: 2
ID: 68 | Name: Sakti Pangestu | Username:  | School ID: 2
ID: 69 | Name: Uda Tarihoran | Username:  | School ID: 2
ID: 70 | Name: Jarwa Jarwadi Tarihoran | Username:  | School ID: 2
ID: 71 | Name: Mahfud Pangestu | Username:  | School ID: 2
ID: 72 | Name: Lantar Prayoga | Username:  | School ID: 2
ID: 73 | Name: Ian Bakijan Santoso | Username:  | School ID: 2
ID: 74 | Name: Darmana Prabowo S.Sos | Username:  | School ID: 2
ID: 75 | Name: Bambang Harjo Sitorus | Username:  | School ID: 2
ID: 76 | Name: Arsipatra Saptono | Username:  | School ID: 2
ID: 77 | Name: Respati Limar Prakasa M.Ak | Username:  | School ID: 2
ID: 78 | Name: Nasrullah Adriansyah | Username:  | School ID: 2
ID: 79 | Name: Bahuwirya Ega Firgantoro | Username:  | School ID: 2
ID: 80 | Name: Emil Pradana | Username:  | School ID: 2
ID: 81 | Name: Enteng Damanik | Username:  | School ID: 2
ID: 82 | Name: Prabawa Suwarno | Username:  | School ID: 2
ID: 83 | Name: Dipa Maryadi M.Kom. | Username:  | School ID: 2
ID: 84 | Name: Cengkir Kuswoyo | Username:  | School ID: 2
ID: 85 | Name: Cayadi Capa Pradipta M.TI. | Username:  | School ID: 2
ID: 86 | Name: Jayadi Sitorus | Username:  | School ID: 2
ID: 87 | Name: Edi Anggriawan | Username:  | School ID: 2
ID: 88 | Name: Mariadi Jarwi Firmansyah | Username:  | School ID: 2
ID: 89 | Name: Embuh Suryono | Username:  | School ID: 2
ID: 90 | Name: Baktiadi Darmaji Mangunsong S.Sos | Username:  | School ID: 2
ID: 91 | Name: Luwes Timbul Ramadan | Username:  | School ID: 2
ID: 92 | Name: Darsirah Prakasa | Username:  | School ID: 2
ID: 93 | Name: Kayun Wahyudin | Username:  | School ID: 2
ID: 94 | Name: Johan Anggriawan S.Sos | Username:  | School ID: 2
ID: 95 | Name: Mulyono Siregar | Username:  | School ID: 2
ID: 96 | Name: Umaya Rangga Waluyo | Username:  | School ID: 2
ID: 97 | Name: Budi Tri Waluyo S.E.I | Username:  | School ID: 2
ID: 98 | Name: Himawan Maryadi S.Ked | Username:  | School ID: 2
ID: 99 | Name: Prasetya Salahudin | Username:  | School ID: 2
ID: 100 | Name: Narji Putra | Username:  | School ID: 2
ID: 101 | Name: Teddy Cakrawangsa Mahendra S.Gz | Username:  | School ID: 2
ID: 102 | Name: Garda Balidin Habibi S.I.Kom | Username:  | School ID: 2
ID: 103 | Name: Lurhur Usman Mustofa | Username:  | School ID: 2
ID: 104 | Name: Reksa Sihombing | Username:  | School ID: 2
ID: 105 | Name: Vino Ganjaran Wahyudin | Username:  | School ID: 2
ID: 106 | Name: Kuncara Mahendra | Username:  | School ID: 2
